gene
0610005C13Rik
2200002D01Rik
4931406C07Rik
Aadac
Aadat
Abcc2
Abcg2
Acaa1b
Acadm
Ace
Acox1
Acsm1
Acsm2
Acss1
Acta2
Actg2
Acy3
Adgrf5
Adh1
AI314278
Akap12
Akr7a5
Aldh1a3
Aldh6a1
Aldob
Alpl
Alx1
Amn
Angpt2
Anxa1
Aoc3
Apela
Apoc1
Apoe
Apom
Aqp1
Aqp2
Aqp3
Aqp4
Ass1
Atp11a
Atp1a1
Atp1b1
Atp6v0d2
Atp6v1c2
Atp6v1g3
Bcam
Bdh1
Bdh2
Bgn
Bhmt2
Bphl
Bsnd
C1qa
C1qb
C1qc
Calb1
Calml4
Car12
Car15
Car2
Car3
Car4
Cav1
Cav2
Cavin1
Cavin3
Ccl21a
Ccn2
Ccnd1
Cd24a
Cd59a
Cd74
Cd9
Cdh16
Cdkn1c
Cdo1
Cela1
Cgref1
Chpt1
Ckb
Ckmt1
Clcnka
Clcnkb
Cldn10
Cldn11
Cldn16
Cldn19
Cldn2
Cldn4
Cldn5
Cldn7
Cldn8
Clec3b
Clic3
Cltrn
Clu
Cnn1
Col1a1
Col1a2
Col3a1
Corin
Cpe
Crip1
Crlf1
Cryab
Cryl1
Csad
Csrp1
Cth
Ctse
Cubn
Cxcl12
Cxcl14
Cyba
Cyp2d26
Cyp2j5
Cyp4a31
Dab2
Dbi
Dcn
Dcxr
Ddah1
Ddn
Defb1
Depp1
Dgat2
Dpep1
Ecm1
Efhd1
Ehd2
Emcn
Enpep
Enpp2
Entpd5
Epcam
Esam
Fabp3
Fabp4
Fabp5
Fads3
Fah
Fbln1
Fbln2
Fbp1
Fcer1g
Flna
Fmo1
Fmo2
Foxa1
Foxc1
Foxi1
Foxq1
Ftl1
Fxyd3
Fxyd4
Galnt11
Gata2
Gata3
Gatm
Gclm
Gcnt1
Ggt1
Gja4
Gk
Glyat
Gm19950
Gm42418
Gm43305
Gpd1
Gpihbp1
Gpm6a
Gpx3
Gpx6
Gramd1b
Gsdmc2
Gsdmc3
Gsn
Gss
Gsta2
Gsta4
Gstz1
H2-Aa
H2-Q7
Hao2
Hba-a1
Hba-a2
Hbb-bs
Hgd
Hmgcs2
Hnf4a
Hoga1
Hsd11b2
Hspb1
Htra1
Id3
Idh1
Ifitm1
Igfbp2
Igfbp3
Igfbp5
Igfbp6
Igfbp7
Itga3
Kap
Kcne1
Kcnj1
Kcnj15
Kcnk1
Keg1
Kl
Klk1
Kng2
Krt18
Krt19
Krt7
Krt8
Lbh
Ldhb
Lepr
Lgals1
Lgals3
Lgmn
Lmo2
Lpl
Lrp2
Lrpap1
Ltbp1
Ltbp4
Lum
Ly6a
Lypd2
Lyve1
Lyz2
Mal
Mal2
Me1
Mep1a
Mettl7a1
Mettl7b
Mfap4
Mfap5
Mfsd4a
Mfsd4b1
Mfsd4b5
Mgp
Miox
Mmrn1
Msln
Msra
mt-Atp8
mt-Nd3
Mt2
Muc1
Mustn1
Myh11
Myl9
Mylk
Napsa
Nat8f1
Ndrg1
Ndrg2
Nme7
Nphs1
Nphs2
Npl
Npnt
Npy
Nudt4
Nupr1
Pah
Parm1
Pck1
Pcolce
Pcx
Pdlim3
Pdzk1
Pdzk1ip1
Pgam2
Pi16
Pla1a
Plat
Plet1
Plvap
Podxl
Postn
Ppp1r1a
Prodh2
Psca
Pter
Ptges
Pth1r
Ptprb
Ptpro
Rab3b
Ren1
Rgs5
Rhbg
Rhcg
Rida
S100a14
S100a4
S100a6
S100a8
S100a9
S100g
Scin
Scnn1b
Scnn1g
Scp2
Sema3g
Serinc2
Serpina1a
Serping1
Sfrp2
Sgk1
Sim2
Slc12a1
Slc12a2
Slc12a3
Slc13a3
Slc17a1
Slc17a3
Slc22a1
Slc22a12
Slc22a13
Slc22a19
Slc22a6
Slc22a8
Slc23a1
Slc25a10
Slc26a4
Slc27a2
Slc2a2
Slc34a1
Slc35g1
Slc37a4
Slc39a8
Slc3a1
Slc47a1
Slc4a4
Slc4a9
Slc51a
Slc5a2
Slc5a8
Slc6a13
Slc6a18
Slc6a20b
Slc7a8
Slc8a1
Slc9a3
Slc9a3r2
Slco1a6
Slco4a1
Smim24
Smoc2
Snx31
Sod3
Sord
Sostdc1
Sparc
Sparcl1
Spink1
Spink8
Spon1
Spp1
Spp2
Sprr1a
Sptssb
Stab1
Sult1d1
Susd3
Tacstd2
Tagln
Tbx2
Tbx3
Tcn2
Tgfbi
Thbs1
Thnsl2
Timp2
Tinagl1
Tkfc
Tm4sf1
Tmem174
Tmem213
Tmem252
Tmem30b
Tmem37
Tmem45b
Tmem52b
Tmem54
Tmem72
Tmigd1
Tmsb4x
Tnc
Tpm2
Trim29
Trpv5
Tspan8
Tst
Ttc36
Ttr
Tyrobp
Umod
Uncx
Upk1a
Upk1b
Upk2
Upk3a
Upk3b
Vcan
Vdr
Vil1
Vim
Vwf
Wfdc15b
Wfdc2
Wnt11
Wnt4
Wnt7b
Wt1
